date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2020-02-13,199.07833862304688,207.39999389648438,208.47000122070312,206.0500030517578,206.6199951171875,9495300,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,19.566037160045695,14.149999618530273,-0.0010669665544831286,-0.0003211377353192768,-0.00019286803148388376,0.6324558602754901,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,,1.0,0.0
2020-02-14,201.85235595703125,210.2899932861328,210.77999877929688,208.00999450683594,208.2899932861328,6548800,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,19.838678611899322,13.680000305175781,0.0016021140118473998,0.001284963591575039,0.01393442369670872,0.6354358015944584,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-02-18,202.725830078125,211.1999969482422,211.5,209.36000061035156,210.0,7651500,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,19.924528013985114,14.829999923706055,-0.0025769997081124263,-0.008662189833262723,0.004327375011473622,0.6103748120833068,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-02-19,204.75119018554688,213.30999755859375,214.1699981689453,211.72000122070312,212.52000427246094,5927500,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,20.123584675339032,14.380000114440918,0.00478123511131856,0.007443350973324936,0.009990533337311813,0.6084586296554496,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-02-20,202.9658203125,211.4499969482422,213.69000244140625,208.27999877929688,212.1300048828125,8531900,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,19.94811291964549,15.5600004196167,-0.004108246574168639,-0.0019273841169260564,-0.00871970667873001,0.6101584312908851,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-02-21,200.4317626953125,208.80999755859375,210.22000122070312,207.4199981689453,209.89999389648438,9231500,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,19.69905637345224,17.079999923706055,-0.010298267087080704,-0.009655591889514037,-0.012485218386144692,0.6517068827296207,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-02-24,190.8137664794922,198.7899932861328,203.77000427246094,194.00999450683594,197.88999938964844,13316800,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,18.753772951521963,25.030000686645508,-0.03316539880720826,-0.03249918703682331,-0.047986228579162016,0.8484198219113955,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-02-25,180.84068298339844,188.39999389648438,199.88999938964844,187.72000122070312,198.7899932861328,18539000,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,17.773584329857016,27.850000381469727,-0.030302149756096908,-0.03392677908469566,-0.05226620926886072,0.9925749126252801,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-02-26,179.69847106933594,187.2100067138672,193.50999450683594,187.02999877929688,190.0,14214700,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,17.661321388100678,27.559999465942383,-0.0036782149973914047,-0.007301842494785493,-0.0063162803671374945,0.9890971398592971,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-02-27,172.7873077392578,180.00999450683594,186.33999633789062,180.0,182.1199951171875,17536600,V,9617000000.0,,2.65,,,,,,,,,,54.35265860949996,0.5323862329764673,10.0,55.29790995112821,16.982074953475088,39.15999984741211,-0.044911686145666097,-0.042732026128071476,-0.03845954782767458,0.9751332818874225,55.0,,50.0,,,True,0.2958161979101359,,22.876051557648,20.916087573107948,24.836015542188054,1.3639704261869605,,,,0.4402149403319144,0.25169954485883944,0.3080855148092462,-0.28350000381469725,-0.20017467199695335,15.733417658873302,False,False,18.959898304968554,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
