date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,portfolio_value,cash,shares,net_return,cumulative_return,drawdown
2020-01-02,1.5774999856948853,1.5774999856948853,1.6174999475479126,1.5175000429153442,1.534999966621399,17814400,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,157.74999856948853,12.470000267028809,0.009351922893854558,0.009351922893854558,0.03782895098019834,1.7892919990829776,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,,1.0,0.0
2020-01-03,1.4700000286102295,1.4700000286102295,1.5625,1.4600000381469727,1.5525000095367432,14175600,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,147.00000286102295,14.020000457763672,-0.007572233484322677,-0.007572233484322677,-0.06814577373026232,1.932390609931196,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-06,1.462499976158142,1.462499976158142,1.4774999618530273,1.399999976158142,1.4500000476837158,13579200,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,146.2499976158142,13.850000381469727,0.0038150521769082513,0.0038150521769082513,-0.0051020763987182915,2.334726972648395,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-07,1.3799999952316284,1.3799999952316284,1.4574999809265137,1.3600000143051147,1.4424999952316284,20912000,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,137.99999952316284,13.789999961853027,-0.0028117773480448305,-0.0028117773480448305,-0.056410244288163214,2.537409706388955,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-08,1.4299999475479126,1.4299999475479126,1.462499976158142,1.3524999618530273,1.372499942779541,22517600,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,142.99999475479126,13.449999809265137,0.005329536027487647,0.005329536027487647,0.036231849629747126,2.308437955422668,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-09,1.3875000476837158,1.3875000476837158,1.4550000429153442,1.3700000047683716,1.4550000429153442,10572000,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,138.75000476837158,12.539999961853027,0.006780649119067839,0.006780649119067839,-0.029720210785373347,2.2142519262321745,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-10,1.3574999570846558,1.3574999570846558,1.399999976158142,1.3450000286102295,1.3899999856948853,11125600,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,135.74999570846558,12.5600004196167,-0.002877705369570993,-0.002877705369570993,-0.02162168617517668,2.3736268159457645,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-13,1.3574999570846558,1.3574999570846558,1.402500033378601,1.3324999809265137,1.3574999570846558,14500800,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,135.74999570846558,12.319999694824219,0.006877347366428754,0.006877347366428754,0.0,2.4713118660451165,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-14,1.1775000095367432,1.1775000095367432,1.25,1.1325000524520874,1.1950000524520874,50247600,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,117.75000095367432,12.390000343322754,-0.0015246225991427664,-0.0015246225991427664,-0.13259665063598047,2.7887035110698597,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
2020-01-15,1.152500033378601,1.152500033378601,1.1825000047683716,1.1375000476837158,1.1649999618530273,19924400,GME,0.0,,0.0,,,,,,,,,,15.0,0.5,10.0,2.0225502731605256,115.25000333786011,12.420000076293945,0.0022598570981489097,0.0022598570981489097,-0.021231402085489348,2.802568263908273,25.0,,50.0,,,21.36,79.01,74.01,35.0,0,0.0,EARLY,60.1,False,,31.87742874122355,29.917464756683497,33.83739272576361,1.0037186065110688,26.87742874122355,,,0.4439102812478332,0.2538124061816666,0.3022773125705001,-0.28350000381469725,0.07543542366921689,32.55156884633694,False,True,"⚠️ PUMP RISK
Weak fundamentals (F=32%) with elevated technicals (T=95%).
High risk of correction. Avoid entry.",19.38,0.0,0.0,False,0.0,,,,,0.0,0,0.0,10000.0,10000.0,0.0,0.0,1.0,0.0
