date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,_fundamental_floor_violated,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,r_asre,r_asre_base,sigma_f,sigma_t,sigma_m,inv_vol_f,inv_vol_t,inv_vol_m,rating_velocity,rating_acceleration,accel_term,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2025-02-13,22.0,22.0,23.25,20.770000457763672,23.0,43599000,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,15.100000381469727,0.010557536581541571,0.014163328954945653,,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2025-02-14,24.549999237060547,24.549999237060547,24.950000762939453,21.507999420166016,22.0,11087800,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,14.770000457763672,-4.9150054415414424e-05,0.0033868437288457898,0.1159090562300249,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.1159090562300249,0.0,0.0,0.0,0.0,1.0,0.0
2025-02-18,25.700000762939453,25.700000762939453,26.350000381469727,24.75,25.0,5010900,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,15.350000381469727,0.0029358340027980656,0.00912615089496982,0.046843240799081975,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.046843240799081975,0.0,0.0,0.0,0.0,1.0,0.0
2025-02-19,24.75,24.75,25.670000076293945,24.5,25.649999618530273,2214900,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,15.270000457763672,0.0023549076262954216,8.254465382218079e-05,-0.03696500913375056,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.03696500913375056,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-02-20,24.530000686645508,24.530000686645508,25.75,23.969999313354492,25.5,7014700,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,15.65999984741211,-0.00416032470826988,-0.0031794080310453277,-0.008888861145636029,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.008888861145636029,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-02-21,23.559999465942383,23.559999465942383,25.020000457763672,23.549999237060547,24.479999542236328,1677200,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,18.209999084472656,-0.017104102948802602,-0.027090876292250154,-0.039543464881809265,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.039543464881809265,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-02-24,23.350000381469727,23.350000381469727,24.440000534057617,23.049999237060547,24.049999237060547,1594700,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,18.979999542236328,-0.004550422471648163,-0.014305789075676145,-0.00891337390632052,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.00891337390632052,-0.0,0.0,0.0,-0.0,1.0,0.0
2025-02-25,23.709999084472656,23.709999084472656,24.010000228881836,23.200000762939453,23.309999465942383,1721900,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,19.43000030517578,-0.004973177992678157,-0.01295840383215685,0.015417503088720252,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.015417503088720252,0.0,0.0,0.0,0.0,1.0,0.0
2025-02-26,24.059999465942383,24.059999465942383,24.459999084472656,23.709999084472656,23.719999313354492,1387900,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,19.100000381469727,0.0005048259926943022,0.01089670278334176,0.01476172058137859,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.01476172058137859,0.0,0.0,0.0,0.0,1.0,0.0
2025-02-27,23.600000381469727,23.600000381469727,24.459999084472656,23.600000381469727,24.40999984741211,1151800,SAIL,230468000.0,,-0.42,,,,,,,,,,15.0,0.5,10.0,-81.27462380894528,100.0,21.1299991607666,-0.01596190430433686,-0.03640694226021379,-0.019118831865470254,1.0,40.0,,50.0,,,False,,55.0,53.04003601545995,56.95996398454005,1.5,50.0,,,0.4524426565265967,0.2566963150456607,0.29086102842774264,-0.20799999237060546,0.5575508206731161,17.321309935287342,False,False,50.0,50.0,0.8781277820229684,37.13113744702181,31.578643270726335,1.1387864277523154,0.02693157465016487,0.031666971612013754,0.0,0.0,0.0,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.019118831865470254,-0.0,0.0,0.0,-0.0,1.0,0.0
