date,adj_close,close,high,low,open,volume,ticker,revenue,net_income,eps,gross_profit,operating_income,ebitda,total_assets,total_debt,shareholders_equity,free_cash_flow,operating_cash_flow,announced_date,roe,de,revenue_growth_yoy,profit_margin,pe,vix,benchmark_return,sector_return,stock_return,sector_beta,f_score,t_score_raw_integral,t_score,m_score,m_score_adj,dip_dip_quality_score,dip_entry_timing_score,dip_momentum_divergence,dip_fundamental_strength,dip_expected_upside,dip_risk_reward_ratio,dip_dip_stage,dip_confidence,_fundamental_floor_violated,_penalty_multiplier,r_final,r_final_kalman,confidence_lower,confidence_upper,kalman_covariance,composite_base,regime_adjustment,weighted_scores,weight_f,weight_t,weight_m,vix_regime,corr_mt,component_variance,is_buy_dip,is_pump_risk,market_context,r_asre,allocation,prev_allocation,is_rebalance_date,position,entry_price,entry_date,position_high,exit_reason,trade_pnl,days_held,tax_applied,price_return,strategy_return,position_change,transaction_cost_incurred,net_return,cumulative_return,drawdown
2023-01-02,188.1133270263672,196.52499389648438,196.9499969482422,195.25,196.5,5559512,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,17.118901907359266,21.670000076293945,-0.002634075107433076,-0.0013642417792524286,0.0007638136039942456,0.005129081635163974,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,,,,,,,
2023-01-03,190.02774047851562,198.52499389648438,198.875,195.85000610351562,196.52499389648438,5994422,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,17.29311793523383,22.899999618530273,-0.004209882546862387,-0.009482483783551765,0.010176822603304325,-0.005538376658817232,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.010176822603304325,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-04,186.51002502441406,194.85000610351562,198.75,194.3000030517578,198.75,8926522,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,16.972997047344567,22.010000228881836,0.007720189025949065,0.0025961357234973725,-0.018511461558764597,-0.0009746663305018818,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.018511461558764597,-0.0,0.0,0.0,-0.0,1.0,0.0
2023-01-05,185.16995239257812,193.4499969482422,196.10000610351562,191.875,195.0,9568980,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,16.851045030334685,22.459999084472656,-0.011413395797773451,-0.019420630282559248,-0.007185060874617899,-0.005892793750244841,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.007185060874617899,-0.0,0.0,0.0,-0.0,1.0,0.0
2023-01-06,182.82481384277344,191.0,194.39999389648438,190.6999969482422,193.5,8484754,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,16.637630662020904,21.1299991607666,0.022932103899730993,0.02929528835465911,-0.012664755683080675,-0.01611034299713999,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.012664755683080675,-0.0,0.0,0.0,-0.0,1.0,0.0
2023-01-09,187.5150909423828,195.89999389648438,196.5,192.5500030517578,193.0,7347432,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,17.064459398648463,21.969999313354492,-0.0005668965891446609,0.011625085458330409,0.025654418306200855,0.07069559858579895,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.025654418306200855,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-10,188.1133270263672,196.52499389648438,196.9499969482422,193.6750030517578,196.0,7879496,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,17.118901907359266,20.579999923706055,0.007012843096556365,0.006181635579413536,0.003190403366374106,0.06727342934055645,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.003190403366374106,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-11,188.49620056152344,196.9250030517578,198.0,195.75,196.5,7656600,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,17.153745910431866,21.09000015258789,0.01264786371867066,0.017328328556248218,0.002035411106457774,0.07704556407578231,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.002035411106457774,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-12,188.80728149414062,197.25,198.9499969482422,195.25,197.875,9510500,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,17.18205574912892,18.829999923706055,0.003640782972808232,0.00743257531634578,0.0016503589854295342,0.074512969474239,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,0.0016503589854295342,0.0,0.0,0.0,0.0,1.0,0.0
2023-01-13,188.52012634277344,196.9499969482422,198.3000030517578,193.25,198.0,13621860,WIPRO.NS,0.0,,2.87,,,,,,,,,,15.0,0.5,10.0,14.388205330559241,17.155923079115173,18.350000381469727,0.0038795056884117773,0.0028436088984120644,-0.0015209280190510155,0.07373976816975177,55.0,,50.0,,,0.0,0,95.0,55.0,10.17,0.55,RECOVERY,51.87,True,0.27186923076923075,,13.658308878319069,11.698344893779016,15.618272862859122,1.205327604047202,,,,0.4455472192751825,0.2516149762954581,0.3028378044293594,-0.1625,-0.029801941477972313,38.900939791561164,False,False,"📊 BALANCED SCENARIO
Components aligned: F=59%, T=5%, M=100%",16.014457038461536,0.0,0.0,False,0.0,,,,,0.0,0,0.0,-0.0015209280190510155,-0.0,0.0,0.0,-0.0,1.0,0.0
